id;street_address;postal_code;city;state_province
1;fonctionnaire confondre frémir;inventer euh doucement;Tourcoing;jusqu’à ce que suffisamment
2;clientèle;ouin coac coac;Troyes;de crainte que au-dehors smack
3;commis avoir;résonner;Niort;trop
4;pointer partenaire;sédentaire après;Limoges;évoluer plus auparavant
5;vroum outre asseoir;à seule fin de incognito quasiment;Saint-Paul;estimer
6;gestionnaire diplomate;taper;Issy-les-Moulineaux;foule en dedans de quant à
7;au dépens de également;lunatique proposer quoique;Versailles;trop envers grrr
8;franco à travers;prout du fait que quand ?;Cannes;exploser vaste vide
9;présidence dynamique;membre titulaire;Lyon;rapide naguère ouah
10;infiniment aussitôt souligner;délégation percevoir;Villeneuve-d'Ascq;biathlète dès
