id;region_name;license_plate;image_url;model
1;large;renforcer dès que gratis;de par;GRAND
2;chut tandis que main-d’œuvre;prou;tic-tac ding bang;GRAND
3;tellement ding;pschitt;dehors naguère;MOYEN
4;super là;spécialiste;tic-tac dynamique à peine;MOYEN
5;super rappeler à condition que;amuser sauvage;entre;PETIT
6;drelin hormis dense;quasi quand;hypocrite;GRAND
7;au moyen de population du Québec lorsque;jusqu’à ce que à condition que tout à fait;du fait que beaucoup;GRAND
8;agir bien que infime;quand du côté de;main-d’œuvre tourner contourner;GRAND
9;minuscule;rudement;dynamique;PETIT
10;habile intrépide;personnel énorme;toc-toc;MOYEN
